Answer,Enumeration,Clue,Grid Number
SCOOTER,7,"With 50 more, retools capsizing vehicle",23
MASSACRE,8,Killing ma?,23
ROSEMARY,8,Mounted Army freed woman,23
ASSENTED,8,Agreed to rearrange standees,23
STRAINED,8,"Sleepyhead, prepared and stiff",23
DOORWAYS,8,"Entrances model: ""Yo, a sword!""",23
ICANHOST,"1,3,4",Come to my place made of chitosan,23
PLASTICS,8,Images describe previous materials,23
LABTESTS,"3,5",Most recent things bishop included in doctor's orders,23
REARMING,8,Once again giving weapons back to associate (without the French),23
COASTLINE,9,Strand of sectional composition,23
AFTERCARE,9,React with fear—ruined post-op therapy,23
STRANGEST,9,Most unusual extent between two streets,23
RAG,3,Shred music,24
IRE,3,"Yeah, caught about 18 {ANGER}",24
SHH,3,Silencer is superior to 10 without one,24
DEBT,4,Some reversing flatbeds are red,24
LYRES,5,Audible players!,24
SMILE,5,Small-distance beam,24
OMANI,5,"Arab ""Tobacco Man"" in hiding",24
OLDEN,5,"Even fooled me one time, maybe",24
ANGER,5,Unlimited endangerment and antagonism,24
ESSAY,5,"Manuscript is in Spanish, for example",24
DORADO,6,Goldfish?,24
CHEQUE,6,Picked up inspection payment,24
DISOWN,6,Abandon pig in the confusion,24
REJECT,6,Right to banish 1 down {DISOWN}?,24
HOMERIC,7,Epic digs almost opulent,24
COMPARE,7,Penniless friend and associate,24
QUASHES,7,Crushes remainder of vegetables,24
FEINTED,7,"Gathered, collapsed and concealed",24
SKIBOOT,"3,4",Idiot almost wears spoof winter gear,24
WOLFCUB,"4,3",Young animal in Western club of bats,24
APOSTLE,7,"Refined Isabella, post-leftist preacher",24
FEARNOT,"4,3","Don't be afraid of loud, ornate nonsense",24
GLAMOUR,7,Allure of edgy girl finding love in Paris,24
MANACLE,7,"""Bond Lens"": get one for nothing (twice!)",24
ARCADIA,7,Rascal breaks into song in 7 {HOMERIC} region,24
BETHLEHEM,9,Lady at the French border town,24
UNEARTHLY,9,Magical exhibit with coastal lady,24
CRESCENDO,9,Riotous conceders get more intense,24
EXISTENCE,9,"World declared X is X, Comrade Hull",24
BRAZILNUT,"6,3",Libra: Z suggested something to crack?,24
SATRAPIES,9,"Rebellious, almost-separatist provinces in Persia",24
SCOREBOARD,10,"Display of points or barcodes, possibly",24
EVERYWHERE,10,"Hereafter, wry bastard follows woman all over",24
HYDROSTATIC,11,A thirsty cod alters water pressure,24
BLOODORANGE,"5,6",Castle lord began to ramble about fruit,24
CREATIONISM,11,Somehow romanticise Biblical literalism,24
FIREBRIGADE,"4,7",Spooner's bramble-fruit said to help these guys put out,24
ASSAULTANDBATTERY,"7,3,7","Crime being reported—S&D, perhaps",24
COMMANDINGOFFICER,"10,7","Boss, with fond grimace, re-made redundant",24
MATE,4,"I'm partner, often!",25
IAGO,4,"Originally, Issac Asimov ghostwrote opera!",25
VERSE,5,Unwilling to reject a song,25
NIECE,5,Someone related to said Mediterranean city,25
JULIET,6,Unwrapped tulip aboard plane,25
DROMIO,6,Top dog overheard 21 {JULIET}'s lover,25
ANTONY,6,"Social worker working… why, ultimately?",25
BADRAP,"3,3",Undeserved dishonor of being buried in Cordoba drapery,25
SCAMPER,7,Sting for every dart,25
ABSOLVE,7,Clear muscle to work out,25
SHYLOCK,7,Reverend's caustic soda jar,25
REMARKS,7,Observes gospel in medias res,25
ARMILLA,7,Bracelet charm I'll aim to enclose,25
NOMADIC,7,Peripatetic venom a dictator provided,25
MALCOLM,7,"Shopping centre hosts company named ""Crux""",25
HORATIO,7,Comparative amounts of hydrogen and oxygen?,25
REPENTS,7,Apologises for charters about Private Banks,25
RICHARD,7,Tough grains (without starter) to eat first,25
BRINJAL,7,Almost deliver Jack a large Indian aubergine,25
TITANIA,7,"Immortal, angry leaders follow Kronos, for example",25
ANOSMIA,7,Overturned some claims on attenuating loss of smell,25
SLITHERS,8,Cut open that lady's snakes,25
HERMIONE,8,"Perfect houses, vermin inside",25
ICANTWAIT,"1,4,4",Vicar Antwan Pitt to expel fringe elements—it'd better be soon!,25
KATHARINE,9,Judo exercises by Cologne river initially held somewhat earlier?,25
STEELWORKS,10,Birds eating fish and Western plant?,25
STEAMSOPEN,"6,4",Second club's old writer gains illicit access to correspondence,25
SHAKESPEARE,11,Poet picked up Muslim elder's associate,25
CHOP,4,Some lamb mince?,26
LIAR,4,Set up bar fraud,26
FAIR,4,Just a boring tree,26
EDGY,4,"Provocative, partly-improvised gymnastics",26
THROBS,6,"Pulses in borsht, somehow",26
STARVE,6,If rest of harvest rots...!,26
URCHIN,6,Street kid staggering about without jacket,26
GAZEBO,6,Heard friends of Dorothy get staff to build summerhouse,26
CUTSSHORT,"4,5",Spooner closes tribunal and finishes early,26
ANTICLIMAX,10,"Claimant IX, suprisingly, is a letdown",26
FLIGHTRISK,"6,4",Ray stops search for potential runaway,26
SATANICALLY,11,"Small, analytical bastard with evil intent",26
JABBERWOCKY,11,"Poem's a hit in Berwick, yeah, if you flip a bit",26
TIMESSQUARE,"5,6","Timothy Twoheart Esq., you're somewhere in New York",26
CUP,3,Came under pressure at first,27
DAD,3,Dedicated every third to relative,27
IMPS,4,Mischievous characters from the Simpsons,27
LEMON,5,Left Jack over-working,27
POUND,5,Urchins start to jump into pool,27
DOGMA,5,The Lord retired Mark's half of creed,27
CAKES,5,Marie suggested ones with pan or sponge?,27
CARROT,6,Transport stock without container,27
DISARM,6,"Often, mortals find raised or put-down weapons",27
DARKLY,6,Odd delay inserting ship we see through a glass...?,27
MADEIRA,5,Invented air-conditioning,27
RABBITS,7,Teachers take time to get pets,27
DISDAIN,7,Corrupt 27 {DAD} is in contempt,27
ENTICED,7,Attracted decent eccentric with one,27
WRESTLE,7,Struggle with the French leftovers first,27
CARDIAC,7,One Ace nearly follows Jack (e.g.) of Hearts,27
BROUHAHA,6,"Uproar at mention of drink, lol",27
SWANDIVE,"4,4","Essentially, landing in swirling waves!",27
IRIDESCE,8,"From the air, I descend and shine like a rainbow",27
CHOCOLATE,9,"Mid-recess, take hot drink inside",27
EMANATING,9,"Guy enters, inhaling and exhaling?",27
SKEDADDLE,9,Flee with King Edward on horseback?,27
OBSERVANT,9,Watchful staff returned with housemaid,27
UNANIMOUS,9,"In Hunan, I'm ousted without opposition",27
DONORCARD,"5,4","Says here, you'll help others if you're late",27
UPSIDEDOWN,6-4,Might be disowned?,27
BATTENBERG,10,"Plan B: Regent crowned by vampire, perhaps",27
GINGERBREAD,11,"Gin, rum, beer with drag",27
WOK,3,"How to cook, ultimately!",28
DOC,3,"Diagnoser of conditions, primarily!",28
ITEM,4,One thing or a couple,28
AMMO,4,Uncovered joint used for shots,28
JIVE,4,Jack Keynes bounds in Viennese dance,28
POLE,4,"Announced vote in the north, perhaps",28
CICADA,6,Spies capturing crook's bug,28
KIBOSH,6,Stop mad Bolshevik Lev escaping,28
GLAZED,6,German did nothing but put on coat,28
REVIEW,6,"Return waiver, with energy for a second look",28
GREYAREA,"4,4",Agree with Ray about unclear situation,28
QUAGMIRE,8,Spooner's periodical singers in a swamp,28
SYCOPHANT,9,Henchman reproducing tachyons takes power,28
SPARKPLUG,"5,4",It ignites small boat aboard very quiet ferry,28
EXTEMPORISE,11,Ad-lib's old speed to increase,28
PERMANENTLY,11,Do any embrace gentle heart forever?,28
UNRAVELLING,11,Resolving confusion of nun with villager,28
UNIFICATION,11,"Synthesising endless gunk, provided one positively-charged molecule",28
NAIVE,5,"Unwise, Geneva water to recede",29
RESET,5,"A button, maybe, to adjust again",29
PARSE,5,Interpret feldspar sentimental piece,29
INEPT,5,"Unfit, I bring back cage as last resort",29
SAMBA,5,"A dance at last, as ""Anthem Bossa"" ends",29
SHEAR,5,"Cut off that girl, beside a rebel chief",29
WIDEN,5,"Expand the odds of weirdo, middle trends",29
THERE,5,The Queen in 26 {DEFINITEARTICLE} is where you stand?,29
TWIDDLE,7,Two crashing into violin to twirl,29
TRIVIAL,7,Attempt to take in six of no import,29
AGITATE,7,"A fool at first, exhausting to excite",29
MAESTRO,7,Conductor with some art to figure out,29
SHERIFF,7,"""Chief officer, mad heirs are very loud!""",29
CURSIVE,7,"Blaspheme about the fourth in hand, perhaps",29
SKEPTIC,7,Infected crowds; a thousand thought it's wrong?,29
THISTLE,7,"In 26 {DEFINITEARTICLE}, composing list for weed",29
CATHARSIS,9,I follow heretics with small relief,29
EDELWEISS,9,"Perennial in Leeds, and wise to furl",29
CULTIVATE,9,Encourage cold and final five for men,29
TRADENAME,"5,4",Develops drama teen's commercial brand,29
SACRAMENT,9,A crowd inside relayed a Christian rite,29
EXTREMIST,9,Fanatic with more endless times to break,29
ARCHITECT,9,Designer's thrice-damned in a crochet shroud,29
TRANSIENT,9,"In shelter, awful rains which won't last long",29
DEFINITEARTICLE,"8,7",The editorial we cannot doubt?,29
EBENEZERSCROOGE,"8,7","A miser mixed up Bezos, Nero—Greece?",29
INTHEFIRSTPLACE,"2,3,5,5","Initially, new line with fitter chaps",29
ISTANDCORRECTED,"1,5,9",It's cryptic cluing and it's my mistake,29
PIT,3,It's underneath—pawn mine,30
END,3,"The conclusion, and at last!",30
TAG,3,Game with identity or laser?,30
ORE,3,Prime 8 {HORSE} from 19 {MINE},30
PEER,4,Lord's stare,30
MAST,4,Mother's first totem pole,30
RAIN,4,Downfall of dictator's regime,30
NYET,4,"In Russia, no Midlands until now",30
GUANO,5,Some iguanodon excrement,30
WAIST,5,Misuse said part of trunk,30
AUDIT,5,Turn in bulletin on computing review,30
HORSE,5,"Animal in orchard or desert, essentially",30
FLEECE,6,Rip off coat,30
BENUMB,6,Dull new menu in B&B,30
BRONZE,6,Working with Zoe's odd bromine-precursor metal,30
LATRINE,7,John with retinal damage,30
INANITY,7,"Folly of Hainan, I typify",30
AVERAGE,7,"Ordinary waves, endless storm",30
SWELTER,7,Cook real stew without a stew?,30
ANDANTE,7,A new Inferno writer's walking pace,30
LIBRARY,7,Lender left one undergarment at empty resupply,30
LEADPIPE,"4,4",Tip-off on Tube reveals murder weapon,30
SORCERER,8,Wizard's inept recorders lost diamonds,30
CASHCROP,"4,4","Spooner to shatter Bobby's tobacco, for example",30
HATEMAIL,"4,4",Amelia met a herald returning some angry letters,30
DREARILY,8,Depressingly and sarcastically enthralling listener,30
EPILOGUE,8,"Quietly stops bizarre eulogies, almost as an afterthought",30
INCARNATE,9,A clue for RNA is manifest,30
ATTENUATE,9,"Weaken X, and you enter a gallery",30
GRANDPIANO,"5,5",GP's instrument?,30
PATROLCARS,"6,4",Hit strange corrals driven by police,30
PICKETLINE,"6,4","Striker's formation is like pectin, perhaps?",30
CREDITABLE,10,Praiseworthy communist with appeal is in line,30
IAMBECOMEDEATHTHEDESTROYEROFWORLDS,"1,2,6,5,3,9,2,6","Unit of poetry: ""Green sea seethed, that endless massacre; Sorrow fled uneasy after Troy""—thus spake Vishnu?",30
HALO,4,Received from faith alone!,31
ROUT,4,"Decisive defeat, right away!",31
NEARS,5,Approaches and brings knight to replace bishop,31
FLORID,6,"Ornate, unfinished state",31
HITMAN,6,Assassin in math problem,31
BANNER,6,"Streamer outlaws, perhaps?",31
THORNY,6,Troublesome god above New York,31
HASSLE,6,"Even cheats a seller, the nuisance!",31
ELEVEN,6,"Time, maybe, for some Chapel Evensong",31
BOREAL,6,"Essentially, nobody authentic in the north",31
ARTDECO,"3,4",Redcoat danced in 20s style,31
PERSONA,7,"Detailed, idiosyncratic character",31
RECORDS,7,Best performances and testimonies,31
KARAOKE,7,"Singing in Korea, a king is embarrassed",31
ANOTHER,7,"One more found in Crowne Plaza—no, the Ritz!",31
OUTCROP,7,Unfashionable hairdo appearing from the Earth,31
TEMPLATE,8,Intern delayed model,31
OBSCURED,8,Sod Bruce drunk and confused,31
ORPHANED,8,Like Oliver Twist or ruffian Daphne,31
MAINSTAY,8,Anchor in river carrying electricity,31
NOLONGER,"2,6",At most the same length? Not any more!,31
LAMPPOST,8,Almost playing very quietly during the Illumination?,31
MACHIAVELLIAN,13,"Cunning and naive, a pair of students travel at the speed of sound, initially",31
SPIRALSTAIRCASE,"6,9",Flight with corkscrew path until landing?,31
EVERYNOWANDTHEN,"5,3,3,4","Sometimes balanced, covering dance trend anyhow",31
LOOKINTHEMIRROR,"4,2,3,6",Suggesting introspection initially: kind of our legacy?,31
PLATE,5,River course,32
TENET,5,Something held up or down,32
SMEAR,5,Calls me a rather refined insult,32
ACTED,5,Had part and subtracted second half,32
LEANT,5,After 18 {SHROVETUESDAY} we hear it's listed,32
WHITE,5,"We get popular 17 {CHRISTMAS}, if we're lucky",32
GIFTS,5,17 {CHRISTMAS} presents first testimony in images,32
KUDOS,5,Congratulations for screwing up unfinished sudoku,32
APOLLO,6,"At first, count old God",32
OUTWIT,6,Bamboozle Oxford idiot?,32
STROPS,6,Fits in around athletics,32
GOBBLE,6,"Say like, a turkey—and good fruit pie without crusts",32
ANYBODY,7,"No matter which corpse, cry for help!",32
DENTURE,7,Doesn't true roe often have false teeth?,32
LIMITED,7,Checked some cadet I'm illegally rejecting,32
GABRIEL,7,Girl eating cheese for 17 {CHRISTMAS} herald,32
ROTATES,7,Toaster malfunctions and acts like 5 {LAZYSUSAN},32
SATSUMA,7,A necessity when returning gift in 17 {CHRISTMAS} socks,32
ENMASSE,"2,5","All at once, midnight 17 {CHRISTMAS} service stops at 2:15?",32
LAOTIAN,7,Went up from Chennai to Aligarh with someone from Vientiane,32
CHRISTMAS,9,Lost at Maastricht's parade today,32
TAIWANESE,9,Islander spilling wines and a tea,32
LAZYSUSAN,"4,5",She takes her turn to offer dinner?,32
PANTOMIME,9,To criticise earlier caricature of 17 {CHRISTMAS} play,32
IDOLATERS,9,43 {APOLLO} worshippers say I party after—sherry first!,32
TESTAMENT,9,"Exam meant to translate 17 {CHRISTMAS} book, for example",32
ABSTAINED,9,Didn't 14 {GOBBLE} or 40 {OVERINDULGE} 26 {SMEAR} in a bed?,32
ANTAGONIST,11,Rival's awkward stagnation,32
PTERANODON,10,Old flyer is rewritten pardon note,32
ASTOUNDING,10,Shocking—establishing leader replaced by a saint!,32
INTROVERTS,10,"In the beginning, cross surrounded by explorers and solitary types",32
PLACEHOLDER,11,[Add Clue],32
STREAMLINED,11,"Sleek, engineered derailments",32
CONGENIALLY,11,"Pleasantly angelic, only enigmatic",32
VICTORYLAPS,"7,4",Six party hits: boxes of Celebrations,32
GOLDENRINGS,"6,5",Lord Ginseng mistakes 5 for 17 {CHRISTMAS},32
ILLUMINATED,11,"Pondered right to evil, holy writing, perhaps",32
NEWYEARSDAY,"3,5,3",Daresay Y's the result a week after 17 {CHRISTMAS},32
OVERINDULGE,11,"14 {GOBBLE} at 17 {CHRISTMAS} dinner, eluding clue?",32
MONOTHEISTS,11,"17 {MONOTHEISTS} observers, for example, in smoothest broadcast",32
LOVEHANDLES,"4,7","0 names to get when you 40 {OVERINDULGE} over 17 {CHRISTMAS}, maybe",32
APOLOGISING,11,"43 {APOLLO} killed student and got soldier to confess, expressing remorse",32
BREAKTHROUGHS,13,Discoveries suggest short hug,32
UNCONDITIONAL,13,"Not qualified to induct loon, in a fashion",32
UNSENTIMENTAL,13,"Draft one intellectual gave money for 17 {UNSENTIMENTAL}, say",32
SHROVETUESDAY,"6,7",You harvested small bananas about two months after 17 {CHRISTMAS},32
MUCHADOABOUTNOTHING,"5,3,5,7","Play ""Mucho a Fiesta""?",32
STRAIGHTFORWARDNESS,19,Honesty of hetero propensity to flirt,32
PARTRIDGEINAPEARTREE,"9,2,1,4,4","Some hill I sleep on, heart-free, topless—first of 17 {CHRISTMAS} 33 {GIFTS}",32
PRONE,5,Likely facedown,33
RAISE,5,Lift beams for dictator,33
MEANT,5,Worker follows Jack as intended,33
HELIX,5,Elizabeth ends up fifty-nine in spring,33
ETCHES,6,Collects unopened chisels,33
LAPTOP,6,Can friend return computer?,33
BREAKS,6,Pauses and manages to decrypt,33
KITTEN,6,Pet's nibbled king for bishop,33
WEIRDO,6,Misfit Spooner's expensive despair,33
GIMLET,6,"Good, Jack's allowed a lime cocktail",33
ITSELF,6,Begin filming in case one ascends on its own,33
XERXES,6,"Fourth of Persepolis, old king from the East!",33
CELLIST,7,Island circled by court player,33
ZEALOTS,7,Fanatics somehow stole a Zuccaro original,33
DEISTIC,7,"Inside, I stick with some believing in God",33
FORSAKEN,8,Abandoned on account of rattlesnake?,33
ALHAMBRA,8,Even call the army support in Granada,33
NAGASAKI,8,Overthrew some sheik—a saga near city,33
YOUTHFUL,8,Junior solver unfaithful to other half?,33
SKEWERED,8,Stuck pitcher in the middle of wobbly desk,33
TASTIEST,8,Warmest doughnut discounted—most appetising!,33
UNTUCKED,8,"Peacekeeper friar and journalist's shirt, perhaps",33
VENDETTA,8,"Bickering, read out diagram—perhaps someone bankrupt?",33
JAZZCLARINETIST,"4,11",Musician suggests incest trial?,33
QUICKTURNAROUND,"5,10",Won't have to wait long for strange-quark uninductor?,33
DOWN,4,Blue diamonds are awesome,34
ISLE,4,"Man, for example, is student of English",34
YIELD,5,Surrender harvest,34
IDEAL,5,Optimal one to trade,34
CLEAN,5,"Fresh, cold and skinny",34
USUAL,5,"Rues durable, intermittent routine",34
ABETS,5,Assists car departing from nightclubs,34
NYLON,5,Yarn ends up on longer half of fabric,34
EAGER,5,Keen to synthesise a germanium extract,34
VNECK,1-4,"Somehow knock over rook missing top, perhaps",34
SNAKED,6,Point at bare wound,34
BEHELD,6,Be believed and seen,34
OVERRUN,7,Rout in Nur?,34
ORDERLY,7,Methodical attendant,34
RUSTLES,7,Whispers strange results,34
INSURES,7,"Guarantees Dionysius' reefs, even",34
NAMESAKE,8,Handle with familiarity?,34
YEARNING,8,Anybody finally making love?,34
INSCRIBE,8,Carve in snakeskin around bed,34
RESPONSE,8,Preseason broadcast without a comeback,34
ELABORATE,9,Complex to explain,34
LASERBEAM,"5,4","Shifting, smearable light",34
HONEYCOMB,9,Unknown card beside perfect waxwork?,34
ALLUSIONS,9,One-for-one in fantasies and allegories,34
LOANSHARK,"4,5",Spooner's offered a good time by moneylender,34
NOSTALGIA,9,Analogist meanders with rose-coloured glasses,34
BRAZENNESS,10,"Officers have serene, Tyneside audacity",34
ABRASIVELY,10,"Doctor varies, cutting competently and harshly",34
DAYLIGHTROBBERY,"8,7",Well-lit lift?,34
DIAGONALISATION,15,"Coordinate change at 10 Downing; essentially, bias is first",34
VEND,4,Finish trade,35
LIVE,4,Jack has to continue,35
XBOX,4,Switch rival with slug?,35
BUYS,4,"Believes eyes, reportedly",35
OOMPH,5,Motionless drive?,35
GAVEL,5,Mallet's wash cycle,35
YELLS,5,"Cries—losses, we hear",35
SNIDE,5,"Sarcastic in riddle, even",35
HUMID,5,Wet uranium interacted at edges,35
NADIR,5,"Somewhat fluoridated, return to the depths",35
UNTOLD,6,Countless ancient books on top,35
CARTON,6,Working underneath craft package,35
JUNTAS,6,Governments' discount assassin faction,35
FAKING,6,"Pretending to open anniversary card, perhaps",35
ROTATE,6,Discovered poem about trinkets and whirligig?,35
XANADU,6,"From ""Kubla Khan"", a gold château, ultimately!",35
QUAILED,7,You suffered and trembled,35
DESCENT,7,Key gents uncovered deterioration,35
ZEROSIN,"5,2",Focuses on love and vice overlapping,35
ENGULFS,7,Floods large gap between opposite ends,35
INCISORS,8,Cut cross in teeth,35
WISTERIA,8,"Airiest, struggling climber",35
MOISTURE,8,"Damp dress suit or tweed, essentially",35
ANATHEMA,8,"Song (with second bit first), a pariah",35
PEVENSIE,8,Matches odd item for one of Lewis' kids,35
KINETICS,8,"""Fashionable Morals"" (not hard!) is a moving subject?",35
MENTIONING,10,Bringing up nine-ingot spoils,35
TUMULTUOUS,10,"Stormy outback, surrounded by topless sort of cloud",35
EARN,4,Deserve to bring up vessel,36
DELI,4,Shipment without much for shop,36
THRUM,5,The almost-strange noise,36
AMPLE,5,Plenty of help—maybe reject some?,36
NAPERY,6,New imitation linens,36
DEARTH,6,Lack right to stop departure,36
RIPPLE,6,Condolences please half the fold?,36
ASCETIC,7,Spartan CIA sect deployed,36
FESTOON,7,Decorate gathering at Castle Neatishead,36
SCRAPPY,7,Inconsistent and poor-quality in what you do for 16 {ESPIONAGE}?,36
ISOMERS,7,Jack and a few bros regularly get the same stuff in different shapes?,36
PRINCELY,7,"Very large, like Hyderabad?",36
UNLOADED,8,"Dumped French one, hammered?",36
EDGEWAYS,8,"From the side of wedge, say, with initial delays",36
NOBLEGAS,"5,3",He (maybe) got from 10 {PRINCELY} grand per second,36
TANGERINE,9,Plastic entering a fruit,36
ESPIONAGE,9,Particularly one on mature undercover work,36
PERISHABLE,10,"Herbs—a large pie, perhaps!",36
DEADLINESS,10,Fatality! Slaughters start after zero hours,36
INTRODUCTION,12,Start enrolment with odd terror,36
SEPARATENESS,12,"Detachment of south-east standard, one XS",36
TYRANNOSAURUS,13,Nauruans' story about terrible beast,36
ONEWAYORANOTHER,"3,3,2,7","Pennine or Cotswold, somehow?",36
CANTERBURYTALES,"10,5","Story of pilgrimage with strange, rusty tabernacle",36
PEAR,4,Quiet organ,37
CODA,4,Fish with a tail,37
KNEE,4,...joint king was born,37
MARS,4,God of the Endless Wetland,37
LIME,4,Replacing one with English capital,37
ACID,4,A hundred and one dalmations start biting,37
FRUIT,5,"Result of last course, we hear",37
EPEES,5,"Weapons from Middlesex benefits, we hear",37
ORANGE,6,Point blank?,37
MANGOS,6,Graduate with merry song,37
AKIMBO,6,Hostile way to present arms?,37
QUINCE,6,Barcelona's rugby union team,37
RAISIN,6,Betting more money on final loss,37
REEBOK,6,Spooner's insect to agitate antelope,37
INDOOR,6,Have some chaplain do oration under cover,37
STRING,6,"Helpful for securing used-up gin nitrates, oddly",37
PUMPKIN,7,"Bob (uncle, maybe)",37
PRALINE,7,Sort of plainer sweet,37
TORPEDO,7,Launched in order to sink?,37
BANANAS,7,Sheepish calls about grandmother?,37
APRICOT,7,Somewhere to sleep after Fool's Day?,37
UNCLEAR,7,A paperback-relative beginning's obscure,37
SUGARPEA,"5,3",As Prague collapsed...,37
CROSSOUT,"5,3",Get rid of our Scots cooks,37
AVOCADOS,8,Almost spoken amid commotions,37
FISHPOND,8,Discover magical shop inside pool,37
CRABAPPLE,9,"Gala, perhaps supporting marine life?",37
MOSSGREEN,"4,5",Swampy colour of Emerson's grand buffet,37
PAPERBACKS,10,Guardian returns books,37
PROVINCIAL,10,Local playing crap violin,37
ACCENTUATIONS,13,Stresses about tectonic sauna,37
CORGI,5,My soldier's dog,38
YOLKS,5,Yellow parts of chains announced,38
OFFAL,5,Leftover material found in weatherproof falconer's,38
MADEUP,"4,2",Invented setter's cheese?,38
TRIFLE,6,Pudding of little importance,38
FLAWED,6,Corrupt US agent without regulation,38
REFLEX,6,Judge with the French Cross to act without thought,38
INSPIRE,7,Encourage popular tower,38
CONFESS,7,Admit to scam on iron steamship,38
ENLISTS,7,Listens to doctor and joins army,38
TYPHOON,7,"Short, kind hothead with new castle toppled by storm",38
UPPERCUT,8,Top portion of punch,38
BEDLINEN,"3,5",Covers new plot thread initially,38
BENIGNLY,8,Affleck somehow lying with good intentions,38
SPYGLASS,8,Telescope mirror behind 4 {QUANTUMOFSOLACE} hero,38
ANGELICAL,9,Divine Grand Alliance broke down,38
TENORCLEF,"5,4",X-monster almost left to get musical symbol,38
QUANTUMOFSOLACE,"7,2,6","Daniel Craig film ""S Surface""?",38
TABLEOFCONTENTS,"5,2,8",Clue for Leo found at start of book,38
CAPTIVEAUDIENCE,"7,8",They have to listen to prisoner hearing?,38
WEATHERFORECAST,"7,8",Outlook of two articles on core RAF deployment in Occident,38
PIOUS,5,Holy pledge in addendum,39
DRESS,5,Cover location without publicity?,39
JUNTA,5,Excursion with a much-delayed council,39
SYNOD,5,Suddenly ends sleep at church council,39
ENTOMB,6,Dash to doctor in Bury,39
TROWEL,6,Often turn on wheel-digger,39
URGENT,6,It's important you are a man?,39
JOSHES,6,The woman's cutting job short before banters,39
SITUATE,7,Place to cook/sauté it,39
DIARIES,7,"""Central Indian Ram"" books",39
SALIENT,7,Relevant Martian in street,39
INSPECT,7,"Fly, say, around quiet study",39
SIZABLE,7,Unruly blaze is rather large,39
DAMPENS,7,Barrier restrains and muffles,39
SQUAWKS,7,Crew nearly had weeks of protests,39
STIRFRY,"4,3",First stewed sides of refectory dish,39
JACUZZI,7,Music surrounds copper one in hot tub,39
ISHMAEL,7,"Starbuck's rival kind-of manly, we hear",39
VAUNTED,7,Boasted of magical adventure without Queen,39
KUMQUAT,7,"With queen inside, King Clive leaving cumulative fruit",39
FENGSHUI,"4,4",System of energy flows somehow fusing He?,39
EXNIHILO,"2,6",Old regular in with million out of nowhere,39
SCHOONER,8,"Spooner quietly leaves church, boards sailboat",39
ORATORIO,9,"Religious music from informant, or one in castle",39
BYSTANDER,9,Rum/brandy set for witness,39
EXPANSIVE,9,"Widespread, premium one for egghead",39
QUAINTEST,9,Most old-school adventure isn't inside,39
OCTAHEDRA,9,"On head, avant-garde hat consistently displays Platonic forms?",39
EMPIRESTATEBUILDING,"6,5,8",Landmark is temperate?,39
RAIDERSOFTHELOSTARK,"6,2,3,4,3","Thief, with gentle greeting, lost student and austere film",39
IDEAL,5,Jack manages perfection,40
MAIZE,5,Crop Jack stored in confusing location?,40
YOUTH,5,Try out herbalist's 'Extract for Immaturity',40
KIOSK,5,Apple's system displayed in trekking centre booth,40
PLUCKY,6,"Yank, young and brave",40
SPRITE,6,Priest destroyed icon,40
HAZARD,6,Hiding map in cruel peril,40
ELOPED,6,Ran off with some 'Penelope' damsel,40
AROMAS,6,Bouquets of balsam or acacia from the East,40
OFLATE,"2,4",Recently got bare apartment close to Rochdale,40
ZEUGMA,6,Hems in zombie using mafia's figure of speech,40
QUALIA,6,Bird with twisted tail and advanced conscious experiences,40
TERRAIN,7,Turtle abandoning soft ground,40
LEARNER,7,King and Queen take in new student,40
NOURISH,7,Cultivate endless chorusing discordantly,40
UPTOPAR,"2,2,3","At the highest point, a king is good enough",40
RETREATS,8,Backs off even true delights,40
WINCHING,8,Faction accepts length for hoisting,40
DRIZZLED,8,Grey-haired Democrat (replacing German) showered,40
JUDICIAL,8,Evacuated Djibouti spooks during short Month of Judges?,40
BROODIEST,9,Sulkiest engineer robotised,40
VARIETIES,9,Different kinds of changes to engulf one alien,40
CITYSTATE,"4,5","""Yes, ASAP"": quote about Singapore, for example",40
XEROPHYTE,9,"Cross-examine revolutionary: they distributed cactus, for example",40
GLOUCESTERSHIRE,15,Buffed' escort reported in county?,40
FLIGHTATTENDANT,"6,9",Crewmember somehow finagled that TNT,40
CATTY,5,Spiteful without his chastity,41
TANGO,5,Dance about in Bologna tonight,41
APNEA,5,Even carpenter has discovered sleeping problem,41
SAHEL,5,Taken from across a Hellenistic region of Africa,41
ATHLETE,7,A bit of wrath let Emily be a sportswoman,41
TWOFOLD,3-4,Double-malt (finally!) whiskey from long ago?,41
SPINDLY,7,Like a daddy longlegs reportedly stuck inside arch,41
CANARDS,7,"Perhaps jokers caught advanced, topnotch false rumours",41
COMMOTION,9,Spanish uncle stuck in ordinary kerfuffle,41
DISMANTLE,9,Take down books in depressing episode at last,41
ENUNCIATE,9,Articulate sister spooks during regular weather,41
DUELLISTS,9,Student records with former outstanding fighters,41
MONSTROSITIES,13,Funds to guard street riots about atrocities,41
UNANTICIPATED,13,Peacekeeper opposed CIA dept. shenanigans without warning,41
GRAMMARSCHOOL,"7,6","Mass at ""Planet Church"" rejected John's educational establishment",41
TRANSGRESSING,13,"Teddy Roosevelt initially with answer: beheading, exiting and committing sins",41
INCANDESCENTLIGHT,"12,5","Nicest night candle, maybe?!",41
GOAGAINSTTHEGRAIN,"2,7,3,5","Like non-conformists' buck-wheat, say?",41
DRESSEDTOTHENINES,"7,2,3,5",Clue for Shinto teen wearing impeccable clothes,41
